model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,Cluster,dec_lat_va,dec_long_va
-inf,0.6206896551724137,0.0,0.0,0.0,0.057471264367816084,0.0,0.32183908045977005,0.0,0.0005025406220336144,0.08375677033893572,0.1563459712993467,0.7593947177396838,0.0,0.021636591804059024,3.105564987572598,320.0,0,34.0780443,-107.2276094
-inf,0.5784313725490197,0.0,0.004901960784313726,0.0,0.33333333333333337,0.0,0.08333333333333334,0.0,0.0,0.043478260869565216,0.2222222222222222,0.7342995169082126,0.0,0.020242914979757085,3.1599149106433324,275.0,0,34.1495059,-107.2271638
-inf,0.6352941176470588,0.0,0.003921568627450981,0.0,0.22745098039215686,0.0,0.13333333333333333,0.0,0.0,0.014440433212996389,0.10469314079422382,0.8808664259927798,0.0,0.0099009900990099,3.2710248996268083,43.0,0,36.6949404,-105.6216224
-inf,0.18433179723502305,0.0,0.03456221198156682,0.0,0.03225806451612903,0.0,0.7488479262672811,0.0,0.0,0.8687782805429864,0.0904977375565611,0.04072398190045249,0.0,0.008464328899637242,3.4371103627358606,110.0,2,33.1296349,-107.2561773
-inf,0.18561484918793505,0.0,0.03248259860788863,0.0,0.03248259860788863,0.0,0.7494199535962878,0.0,0.0,0.8778801843317973,0.08525345622119816,0.03686635944700461,0.0,0.008567931456548347,3.431527478402418,30.0,2,33.1273972,-107.254759
-inf,0.18264840182648404,0.0,0.03424657534246576,0.0,0.0319634703196347,0.0,0.7511415525114156,0.0,0.0,0.8804597701149426,0.08275862068965517,0.036781609195402305,0.0,0.008484848484848484,3.4337741208621293,208.0,2,33.1288984,-107.2575088
-inf,0.18527315914489312,0.0,0.0332541567695962,0.0,0.04275534441805226,0.0,0.7387173396674585,0.0,0.0,0.8514150943396226,0.09198113207547169,0.056603773584905655,0.0,0.008838383838383838,3.420881097239713,60.0,2,33.1281525,-107.2543818
-inf,0.18779342723004694,0.0,0.03286384976525821,0.0,0.037558685446009384,0.0,0.7417840375586854,0.0,0.0,0.8649885583524027,0.09382151029748284,0.041189931350114416,0.0,0.008610086100861006,3.4319071125603924,71.0,2,33.1271036,-107.2510542
-inf,0.29914529914529914,0.0,0.012820512820512818,0.0,0.025641025641025637,0.0,0.6623931623931624,0.0,0.0,0.8529411764705882,0.09663865546218488,0.05042016806722689,0.0,0.025056947608200455,3.1877036781955277,600.0,1,33.2372674,-107.2684462
-inf,0.16826923076923078,0.0,0.040865384615384616,0.0,0.028846153846153844,0.0,0.7620192307692307,0.0,0.0,0.8634259259259259,0.09490740740740741,0.041666666666666664,0.0,0.011152416356877323,3.429183094420631,99.0,2,33.1256096,-107.2533844
-inf,0.29256594724220625,0.0,0.007194244604316546,0.0,0.023980815347721823,0.0,0.6762589928057554,0.0,0.0,0.5080459770114942,0.009195402298850575,0.48275862068965514,0.0014619883040935676,0.002923976608187135,3.4419295285700877,200.0,2,33.1643539,-107.2435791
-inf,0.03592814371257485,0.0,0.005988023952095809,0.0,0.0,0.0,0.9580838323353293,0.0,0.0,0.6077348066298343,0.04972375690607735,0.3425414364640884,0.0031446540880503146,0.009433962264150941,3.0665310577524667,1321.0,1,31.94,-106.62
-inf,0.13169271699368143,0.0,0.0023279015630196212,0.0,0.09976720984369805,0.0,0.766212171599601,0.0,0.00030759766225776686,0.6705629037219317,0.030759766225776686,0.29836973239003384,0.0003681207436039021,0.0011043622308117061,4.291020373645296,75.0,2,31.8,-106.54
-inf,0.0639269406392694,0.0,0.004566210045662101,0.0,0.018264840182648404,0.0,0.9132420091324202,0.0,0.0,0.39914163090128757,0.10300429184549356,0.4978540772532189,0.0,0.015345268542199485,3.201470893488576,533.0,1,31.82,-106.82
-inf,0.29723502304147464,0.0,0.003456221198156682,0.0,0.027649769585253454,0.0,0.6716589861751152,0.0,0.0,0.7035623409669212,0.006361323155216285,0.2900763358778626,0.0007097232079489,0.0063875088715401,3.7054178614602087,306.0,2,31.83,-106.6
-inf,0.29411764705882354,0.0,0.04621848739495799,0.0,0.07563025210084034,0.0,0.5840336134453782,0.0,0.0,0.14942528735632182,0.7049808429118773,0.14559386973180075,0.0,0.03325942350332594,3.313006887346985,600.0,1,31.93,-107.0
-inf,0.1628162816281628,0.0,0.0033003300330033,0.0,0.0022002200220022,0.0,0.8316831683168316,0.0,0.0,0.4972617743702081,0.00547645125958379,0.4972617743702081,0.0019620667102681487,0.003924133420536297,3.773979356097384,1765.0,2,31.93,-106.65
