model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.05063291139240506,0.0,0.006329113924050633,0.0,0.02531645569620253,0.0,0.9177215189873418,0.0,0.0,0.39759036144578314,0.2289156626506024,0.37349397590361444,0.0,0.017123287671232876,3.0708361972879783,149.0,0.0292,0.0158,0.0166,Proprietary,192.0,CA,0,8.25,16.74,5.25,299.58,334.6,235.62,3.67,32.46
0.0,0.040229885057471264,0.0,0.00574712643678161,0.0,0.02873563218390805,0.0,0.9252873563218391,0.0,0.0,0.4298245614035087,0.12573099415204678,0.4444444444444444,0.0016447368421052633,0.008223684210526315,3.3714345661250715,800.0,0.0608,0.0348,0.0342,Proprietary,225.0,CA,0,8.6,29.0,12.0,730.0,740.0,520.0,7.0,30.0
0.0,0.4837545126353791,0.0,0.0036101083032490976,0.0,0.24548736462093862,0.0,0.26714801444043323,0.0,0.0,0.14878892733564014,0.20761245674740486,0.643598615916955,0.0026315789473684214,0.01842105263157895,3.3002740566130093,300.0,0.038,0.0277,0.0289,Proprietary,250.7,CA,1,7.0,270.6,81.94,893.22,169.8,152.25,4.27,42.85
0.0,0.245282324672666,0.0,0.009433935564333308,0.0,0.0943393556433331,2.8301806692999925e-06,0.6509415539389983,0.0,0.0,0.5244444444444445,0.13777777777777778,0.3377777777777778,0.0,0.010899173651901649,3.16407312171214,219.0,0.036700029999999995,0.02120006,0.0225,Proprietary,152.2,CA,0,7.82,104.2,24.49,362.57,317.4,420.37,7.83,22.28
0.0,0.4516070760377285,0.0,0.006451529657681836,0.0,0.2580611863072734,1.2903059315363671e-05,0.2838673049380008,0.0,0.0,0.08124999999999999,0.31875000000000003,0.6,0.004587134921399443,0.022935674606997216,3.0590390325775574,820.0,0.0218001,0.015500200000000002,0.016,Proprietary,207.4,CA,1,6.98,139.6,48.18,461.14,101.0,45.47,4.5,30.14
0.0,0.4408602150537635,0.0,0.005376344086021506,0.0,0.23655913978494628,0.0,0.3172043010752688,0.0,0.0,0.0962566844919786,0.2727272727272727,0.6310160427807486,0.0,0.01953125,3.132109550142504,873.0,0.0256,0.0186,0.0187,Proprietary,238.9,CA,1,7.4,163.7,52.61,571.85,135.9,64.45,4.96,31.61
0.0,0.456060340291177,0.011693854879260949,0.0,0.00017540782318891423,0.2923463719815237,0.0,0.23972402502484946,0.0,0.0,0.16666666666666669,0.4777777777777778,0.3555555555555556,0.0,0.01550207340231756,3.1017977501321137,250.0,0.025803000000000003,0.017103,0.018,Proprietary,355.6,CA,1,7.01,156.4,60.08,303.16,95.0,107.98,1.83,21.86
0.0,0.019317139131694597,0.0,0.004829284782923649,0.00033804993480465544,0.009658569565847298,0.0,0.9658569565847298,0.0,0.0,0.6272727272727273,0.18181818181818182,0.19090909090909092,0.002456579949394453,0.007369739848183359,3.159368467070876,1330.0,0.040707,0.020707,0.022,Proprietary,203.0,CA,0,8.22,8.06,1.85,203.34,461.7,489.45,3.16,17.09
0.0,0.1317829457364341,0.0,0.0038759689922480624,0.0,0.046511627906976744,0.0,0.8178294573643411,0.0,0.0,0.49609375,0.06640625,0.43750000000000006,0.0,0.00684931506849315,3.2292534787034786,120.0,0.0438,0.0258,0.025599999999999998,Proprietary,84.86,CA,0,7.74,68.01,15.18,534.26,487.2,452.65,5.31,17.39
0.0,0.018957345971563982,0.0,0.004739336492890996,0.0,0.0,0.0,0.976303317535545,0.0,0.0,0.6331877729257642,0.1834061135371179,0.1834061135371179,0.0023752969121140144,0.007125890736342042,3.1752591648874926,1140.0,0.0421,0.0211,0.0229,nwisca.01.00600043,215.0,CA,0,8.5,6.39,1.21,206.0,474.0,516.0,2.56,20.8
0.0,0.017467248908296942,0.0,0.004366812227074236,0.0,0.008733624454148471,0.0,0.9694323144104804,0.0,0.0,0.6340425531914894,0.1702127659574468,0.19574468085106383,0.002262443438914027,0.006787330316742081,3.1907116936552606,965.0,0.0442,0.0229,0.0235,nwisca.01.00600044,210.0,CA,0,8.7,7.15,1.79,225.0,512.0,529.0,2.34,16.5
0.0,0.017142857142857144,0.0,0.0028571428571428576,0.0,0.01142857142857143,0.0,0.9685714285714286,0.0,0.0,0.5946666666666667,0.18666666666666668,0.2186666666666667,0.0014641288433382136,0.00439238653001464,3.3885635039259285,670.0,0.06830000000000001,0.034999999999999996,0.0375,nwisca.01.00600045,356.0,CA,0,8.4,10.8,5.86,396.0,779.0,790.0,4.1,16.6
0.0,0.17418844022169439,0.0,0.004750593824228028,0.0,0.33570863024544734,0.0,0.4837688044338876,0.0015835312747426763,0.0016326530612244896,0.8244897959183674,0.02857142857142857,0.14530612244897959,0.00048076923076923074,0.001442307692307692,3.850216824855866,270.0,0.20800000000000002,0.1263,0.12250000000000001,nwisca.01.00501749,164.0,CA,2,7.4,438.0,515.0,855.0,1400.0,3570.0,23.3,17.3
0.0,0.025806451612903226,0.0,0.012903225806451613,0.0,0.012903225806451613,0.0,0.9483870967741935,0.0,0.0,0.47337278106508873,0.33727810650887574,0.1893491124260355,0.003154574132492114,0.034700315457413256,3.096079752172666,1360.0,0.0317,0.0155,0.016900000000000002,nwisca.01.01000226,289.0,CA,0,8.3,6.94,2.9,155.0,338.0,284.0,7.58,64.2
0.0,0.024096385542168676,0.0,0.006024096385542169,0.0,0.012048192771084338,0.0,0.9578313253012049,0.0,0.0,0.5822784810126581,0.37974683544303794,0.03797468354430379,0.006191950464396284,0.009287925696594425,3.057903265848301,600.0,0.0323,0.0166,0.0158,nwisca.01.00501751,304.0,CA,0,8.2,7.99,2.76,30.5,367.0,327.0,2.75,16.5
0.0,0.059574468085106386,0.0,0.00425531914893617,0.0,0.0425531914893617,0.0,0.8936170212765958,0.0,0.0,0.3958333333333333,0.5625,0.041666666666666664,0.008583690987124463,0.008583690987124463,3.2543224125363985,1150.0,0.0466,0.0235,0.024,nwisca.01.00600046,680.0,CA,0,8.2,26.5,11.3,50.3,483.0,336.0,4.86,21.5
0.0,0.12631578947368421,0.0,0.005263157894736843,0.0,0.0736842105263158,0.0,0.7947368421052632,0.0,0.0,0.6699507389162561,0.270935960591133,0.059113300492610835,0.002688172043010753,0.008064516129032258,3.122770994183182,660.0,0.0372,0.019,0.0203,nwisca.01.00501690,267.0,CA,0,7.8,49.3,18.0,60.8,347.0,484.0,4.68,16.4
0.0,0.044642857142857144,0.0,0.004464285714285715,0.0,0.0,0.0,0.9508928571428571,0.0,0.0,0.8418803418803419,0.047008547008547015,0.11111111111111112,0.0067264573991031385,0.0067264573991031385,3.1609963567489583,1460.0,0.0446,0.0224,0.023399999999999997,nwisca.01.00900473,55.0,CA,0,8.0,19.4,1.03,125.0,492.0,700.0,2.8,16.5
0.0,0.04177545691906005,0.0,0.005221932114882507,0.0,0.015665796344647518,0.0,0.9373368146214099,0.0,0.0027173913043478264,0.8722826086956521,0.04347826086956522,0.08152173913043478,0.004087193460490463,0.008174386920980926,3.366733819472256,970.0,0.0734,0.0383,0.0368,nwisca.01.00900474,81.0,CA,2,8.0,30.7,7.08,142.0,826.0,1140.0,9.5,34.3
0.0,0.03164556962025316,0.0,0.0031645569620253164,0.0,0.006329113924050633,0.0,0.9588607594936708,0.0,0.0,0.867435158501441,0.051873198847262256,0.08069164265129684,0.004622496147919876,0.004622496147919876,3.319581544054224,1700.0,0.0649,0.0316,0.034699999999999995,nwisca.01.01000651,90.0,CA,0,8.1,22.0,2.47,136.0,697.0,1070.0,4.51,17.4
0.0,0.034090909090909095,0.0,0.005681818181818183,0.0,0.005681818181818183,0.0,0.9545454545454546,0.0,0.0,0.8616187989556136,0.04960835509138381,0.08877284595300261,0.005571030640668524,0.004178272980501392,3.3630292020332906,1350.0,0.0718,0.035199999999999995,0.0383,nwisca.01.01000652,100.0,CA,0,8.2,23.3,3.13,163.0,773.0,1170.0,6.23,15.8
0.0,0.027548209366391185,0.0,0.008264462809917356,0.0,0.011019283746556474,0.0,0.953168044077135,0.0,0.0,0.8431372549019607,0.07352941176470588,0.08333333333333333,0.0039787798408488055,0.005305039787798408,3.39036216679932,1070.0,0.07540000000000001,0.0363,0.0408,nwisca.01.01000653,150.0,CA,0,8.1,20.7,5.57,165.0,797.0,1220.0,9.81,23.5
0.0,0.020000000000000004,0.0,0.010000000000000002,0.0,0.010000000000000002,0.0,0.9600000000000001,0.0,0.0,0.6394230769230769,0.2259615384615385,0.1346153846153846,0.002531645569620253,0.007594936708860758,3.1430157375793035,620.0,0.0395,0.019999999999999997,0.0208,nwisca.01.01000654,242.0,CA,0,8.4,8.66,3.59,137.0,442.0,473.0,6.65,16.4
0.0,0.046511627906976744,0.0,0.006644518272425249,0.0,0.013289036544850499,0.0,0.9335548172757474,0.0,0.0,0.847953216374269,0.05847953216374269,0.0935672514619883,0.004807692307692307,0.004807692307692307,3.308572352434489,380.0,0.062400000000000004,0.030100000000000002,0.0342,nwisca.01.01000655,105.0,CA,0,8.4,28.3,5.08,151.0,646.0,1030.0,6.41,15.9
0.0,0.23121387283236997,0.0,0.008670520231213872,0.0,0.15606936416184972,0.0,0.6040462427745664,0.0,0.0,0.5434782608695652,0.1793478260869565,0.27717391304347827,0.0,0.006666666666666667,3.3717048837105423,170.0,0.06,0.0346,0.0368,nwisca.01.01202122,302.0,CA,0,7.3,161.0,65.2,494.0,480.0,710.0,11.2,21.3
0.0,0.29906542056074764,0.0,0.002336448598130841,0.0,0.24299065420560745,0.0,0.455607476635514,0.0,0.0,0.6689038031319909,0.10738255033557045,0.22371364653243847,0.0,0.00839160839160839,3.436514871305141,250.0,0.07150000000000001,0.042800000000000005,0.044700000000000004,nwisca.01.00801328,232.0,CA,0,7.6,255.0,126.0,483.0,449.0,1060.0,4.66,36.1
0.0,0.2588235294117647,0.0,0.00392156862745098,0.0,0.21960784313725487,0.0,0.5176470588235293,0.0,0.0,0.4015444015444015,0.14285714285714288,0.4555984555984556,0.0,0.010050251256281407,3.231532283348231,780.0,0.0398,0.025500000000000002,0.0259,nwisca.01.00200802,177.0,CA,1,7.6,131.0,68.8,564.0,303.0,368.0,3.68,26.1
0.0,0.1309823677581864,0.0,0.002518891687657431,0.0,0.010075566750629724,0.0,0.8564231738035265,0.0,0.002358490566037736,0.8372641509433962,0.06603773584905662,0.09433962264150945,0.002570694087403599,0.0038560411311053975,3.4077793690018376,830.0,0.07780000000000001,0.0397,0.04239999999999999,nwisca.01.01001355,134.0,CA,2,7.6,105.0,4.17,188.0,783.0,1260.0,4.91,18.8
0.0,0.13333333333333333,0.0,0.002666666666666667,0.0,0.010666666666666668,0.0,0.8533333333333334,0.0,0.0,0.8491048593350383,0.0588235294117647,0.09207161125319692,0.0027548209366391185,0.004132231404958678,3.3765075191316036,710.0,0.0726,0.0375,0.0391,nwisca.01.01001356,112.0,CA,0,7.7,100.0,3.79,170.0,737.0,1180.0,4.31,16.8
0.0,0.14906832298136644,0.0,0.0031055900621118015,0.0,0.006211180124223603,0.0,0.8416149068322981,0.0,0.0,0.8696883852691217,0.04532577903682719,0.08498583569405098,0.0031250000000000006,0.004687500000000001,3.322437937979965,640.0,0.06399999999999999,0.0322,0.035300000000000005,nwisca.01.01001357,80.0,CA,0,7.8,94.5,2.52,149.0,624.0,1090.0,4.11,16.8
0.0,0.21674876847290644,0.0,0.004926108374384237,0.0,0.029556650246305417,0.0,0.748768472906404,0.0,0.0022675736961451248,0.8231292517006802,0.06575963718820861,0.10884353741496598,0.001287001287001287,0.0038610038610038602,3.420687454626167,460.0,0.0777,0.0406,0.0441,nwisca.01.01001358,138.0,CA,2,7.4,177.0,14.2,235.0,699.0,1290.0,6.81,17.1
0.0,0.2077922077922078,0.0,0.005194805194805195,0.0,0.05714285714285715,0.0,0.7298701298701299,0.0,0.0,0.7397590361445783,0.15903614457831325,0.10120481927710842,0.001366120218579235,0.004098360655737704,3.410284742583277,360.0,0.0732,0.0385,0.0415,nwisca.01.01001359,297.0,CA,0,7.2,161.0,27.7,205.0,647.0,1090.0,8.9,18.8
0.0,0.3132530120481928,0.0,0.0024096385542168677,0.0,0.21686746987951808,0.0,0.46746987951807234,0.0,0.0,0.630484988452656,0.20323325635103928,0.16628175519630486,0.0,0.005665722379603399,3.431379366310115,255.0,0.07060000000000001,0.041499999999999995,0.0433,nwisca.01.00200801,391.0,CA,0,7.2,260.0,110.0,344.0,445.0,969.0,2.59,24.8
0.0,0.21311475409836064,0.0,0.00546448087431694,0.0,0.19672131147540983,0.0,0.5846994535519126,0.0,0.0027247956403269754,0.8664850136239781,0.0653950953678474,0.0653950953678474,0.0,0.004622496147919876,3.3376240622458373,780.0,0.0649,0.0366,0.0367,nwisca.01.00200799,116.0,CA,2,7.5,156.0,86.9,120.0,494.0,1130.0,6.95,18.0
0.0,0.06987577639751552,0.0,0.0023291925465838506,0.0,0.07763975155279504,0.0,0.8501552795031057,0.0,0.00140548137737175,0.9023190442726634,0.014757554462403373,0.08151791988756149,0.000780335544284042,0.001170503316426063,3.909782220637906,1480.0,0.25630000000000003,0.1288,0.14229999999999998,nwisca.01.01105354,102.0,CA,2,7.5,180.0,122.0,551.0,2510.0,4540.0,12.0,16.3
0.0,0.10464135021097047,0.0,0.006751054852320676,0.0,0.12320675105485233,0.0,0.7654008438818566,0.0,0.000908265213442325,0.8601271571298819,0.019073569482288825,0.1198910081743869,0.0,0.001436781609195402,3.826032181412195,280.0,0.2088,0.1185,0.11010000000000002,nwisca.01.00900577,99.3,CA,2,7.6,248.0,176.0,633.0,2080.0,3350.0,29.7,15.9
0.0,0.1702127659574468,0.0,0.006382978723404255,0.0,0.17872340425531913,0.0,0.6446808510638298,0.0,0.0020491803278688526,0.7868852459016392,0.11680327868852458,0.0942622950819672,0.0,0.005827505827505828,3.4695121872735553,75.0,0.0858,0.047,0.0488,nwisca.01.01105357,260.0,CA,2,7.3,162.0,103.0,223.0,696.0,1360.0,10.8,30.0
0.0,0.26229508196721313,0.0,0.004098360655737705,0.0,0.17213114754098358,0.0,0.5614754098360656,0.0,0.0,0.6305220883534136,0.22489959839357432,0.14457831325301204,0.0,0.007058823529411763,3.205476579092387,457.0,0.0425,0.0244,0.0249,nwisca.01.00200679,276.0,CA,0,7.8,130.0,51.3,174.0,316.0,558.0,4.3,16.7
0.0,0.22535211267605632,0.0,0.004694835680751174,0.0,0.16901408450704225,0.0,0.6009389671361502,0.0,0.0,0.6273584905660377,0.22169811320754718,0.1509433962264151,0.0,0.008108108108108109,3.139933023685199,606.0,0.037,0.0213,0.0212,nwisca.01.00401735,221.0,CA,0,7.5,95.3,43.6,157.0,295.0,472.0,4.78,19.4
0.0,0.29931972789115646,0.0,0.0022675736961451248,0.0,0.22675736961451248,0.0,0.4716553287981859,0.0,0.0,0.6369565217391303,0.19782608695652174,0.16521739130434782,0.0,0.006648936170212766,3.456489440263521,200.0,0.0752,0.0441,0.046000000000000006,nwisca.01.00200800,395.0,CA,0,7.1,264.0,122.0,362.0,479.0,1040.0,3.84,27.2
0.0,0.2172523961661342,0.0,0.0031948881789137388,0.0,0.18530351437699683,0.0,0.5942492012779553,0.0,0.0,0.6424050632911391,0.2120253164556962,0.14556962025316453,0.0,0.007312614259597809,3.307259764522069,760.0,0.054699999999999985,0.031299999999999994,0.0316,nwisca.01.00200631,319.0,CA,0,7.5,138.0,70.4,222.0,429.0,720.0,2.7,23.3
0.0,0.013761467889908256,0.0,0.006880733944954128,0.0,0.009174311926605505,0.0,0.970183486238532,0.0,0.002288329519450801,0.8100686498855835,0.10068649885583524,0.08695652173913043,0.004672897196261682,0.003504672897196261,3.4417167320264395,1990.0,0.08560000000000001,0.0436,0.0437,nwisca.01.01000048,223.0,CA,2,8.1,12.1,5.53,181.0,975.0,1260.0,10.5,18.3
0.0,0.020270270270270268,0.0,0.006756756756756757,0.0,0.013513513513513514,0.0,0.9594594594594594,0.0,0.0,0.7807308970099668,0.09966777408637875,0.11960132890365449,0.0017331022530329288,0.0034662045060658577,3.2790502827272627,1320.0,0.05770000000000001,0.0296,0.0301,nwisca.01.01000049,154.0,CA,0,8.4,11.6,3.95,175.0,655.0,834.0,8.18,14.9
