model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.1033434650455927,0.0,0.0182370820668693,0.0,0.2127659574468085,0.0,0.6595744680851064,0.006079027355623101,0.0,0.88125,0.06875,0.05,0.0,0.003389830508474576,3.2809836592859853,210.0,0.059000000000000004,0.0329,0.032,Proprietary,98.0,FL,1,7.2,68.0,86.0,76.0,500.0,1000.0,23.0,12.0
0.0,0.16338028169014082,0.0,0.011267605633802816,0.0,0.21408450704225349,0.0,0.6112676056338028,0.0,0.0,0.7899159663865547,0.07002801120448181,0.14005602240896362,0.0,0.0032154340836012866,3.3286004665508,790.0,0.0622,0.035500000000000004,0.035699999999999996,Proprietary,123.0,FL,1,7.5,118.0,95.0,245.0,514.0,1030.0,16.0,14.0
0.0,0.1714285714285714,0.0,0.014285714285714285,0.0,0.2571428571428571,0.0,0.5428571428571428,0.014285714285714285,0.0,0.6978417266187051,0.10791366906474821,0.19424460431654678,0.0,0.006355932203389829,3.236384652214846,629.0,0.047200000000000006,0.028,0.0278,Proprietary,146.0,FL,0,7.6,97.0,87.0,260.0,350.0,690.0,17.0,17.0
0.0,0.10423452768729642,0.0,0.01465798045602606,0.0,0.1726384364820847,0.0,0.7084690553745928,0.0,0.0,0.7722602739726027,0.04280821917808219,0.18493150684931506,0.0,0.001885014137606032,3.5545396491023777,1332.0,0.10610000000000001,0.061399999999999996,0.05840000000000001,Proprietary,121.0,FL,1,7.6,130.0,130.0,520.0,1000.0,1600.0,34.0,13.0
0.0,0.11176470588235295,0.0,0.012745098039215686,0.0,0.18627450980392157,0.0,0.6833333333333333,0.0058823529411764705,0.0,0.8983572895277208,0.033880903490759756,0.06776180698151951,0.0,0.001106194690265487,3.762057063127125,792.0,0.1808,0.102,0.09739999999999999,Proprietary,151.0,FL,1,7.3,230.0,230.0,320.0,1600.0,3100.0,49.0,14.0
0.0,0.2890173410404624,0.0,0.005780346820809248,0.0,0.21387283236994217,0.0,0.4913294797687861,0.0,0.0,0.7445054945054944,0.10164835164835165,0.15384615384615383,0.0,0.005016722408026755,3.3356608382958286,300.0,0.0598,0.034600000000000006,0.0364,Proprietary,164.0,FL,1,7.22,200.0,91.0,270.0,390.0,960.0,7.6,20.0
0.0,0.05363984674329502,0.0,0.022988505747126436,0.0,0.08429118773946362,0.0,0.8314176245210729,0.007662835249042146,0.0,0.2958801498127341,0.1198501872659176,0.5842696629213483,0.0,0.004618937644341801,3.2616721976813654,465.0,0.043300000000000005,0.026099999999999998,0.0267,Proprietary,162.0,FL,0,8.2,28.0,28.0,750.0,500.0,280.0,25.0,10.0
0.0,0.04655172413793104,0.0,0.011206896551724136,0.0,0.0396551724137931,0.0,0.9008620689655171,0.0017241379310344827,0.0,0.9445422535211268,0.055457746478873235,0.0,0.0,0.0008900756564307966,3.8350757524659085,1508.0,0.2247,0.116,0.1136,Proprietary,299.0,FL,1,7.5,110.0,56.0,1.0,2400.0,3800.0,50.0,15.0
0.0,0.14166666666666666,0.0,0.016666666666666666,0.0,0.19166666666666665,0.0,0.6333333333333333,0.016666666666666666,0.0,0.6286919831223629,0.0759493670886076,0.29535864978902954,0.0,0.004975124378109453,3.1784594259762713,601.0,0.0402,0.024,0.0237,Proprietary,90.0,FL,0,7.9,69.0,57.0,340.0,350.0,530.0,16.0,12.0
0.0,0.057142857142857155,0.0,0.026785714285714288,0.0,0.1392857142857143,0.0,0.7767857142857143,0.0,0.0,0.7789291882556132,0.06563039723661486,0.15544041450777202,0.0,0.0038350910834132317,3.545891091021641,1000.0,0.10429999999999999,0.055999999999999994,0.0579,Proprietary,187.0,FL,1,7.8,65.0,94.0,430.0,1000.0,1600.0,60.0,22.0
0.0,0.10570236439499303,0.0,0.013908205841446452,0.0,0.18080667593880387,0.0,0.6968011126564673,0.0027816411682892906,0.0014285714285714286,0.8471428571428571,0.05142857142857142,0.09999999999999999,0.0,0.0015600624024961,3.6224574912991847,1740.0,0.1282,0.0719,0.07,Proprietary,164.1,FL,1,7.31,151.0,157.0,340.0,1150.0,2100.0,39.0,14.0
0.0,0.16666666666666669,0.0,0.009523809523809525,0.0,0.19523809523809527,0.0,0.6190476190476191,0.009523809523809525,0.0,0.8372641509433962,0.07311320754716982,0.08962264150943397,0.0,0.0026702269692923898,3.4017955518312224,935.0,0.07490000000000001,0.041999999999999996,0.04239999999999999,Proprietary,143.5,FL,0,7.24,142.0,101.0,180.0,600.0,1260.0,17.0,15.0
0.0,0.1857142857142857,0.0,0.009523809523809523,0.0,0.1857142857142857,0.0,0.6,0.019047619047619046,0.0,0.7902439024390244,0.06829268292682927,0.14146341463414636,0.0,0.004155124653739612,3.3970350912830645,1286.0,0.07219999999999999,0.042,0.040999999999999995,Proprietary,130.4,FL,0,7.32,155.0,94.0,280.0,580.0,1150.0,14.0,16.0
0.0,0.20833333333333331,0.0,0.010416666666666666,0.0,0.21874999999999997,0.0,0.5625,0.0,0.0,0.6512820512820513,0.15384615384615385,0.19487179487179487,0.0,0.00909090909090909,3.089696635366794,1100.0,0.033,0.019200000000000002,0.0195,Proprietary,139.0,FL,1,7.3,82.0,52.0,182.0,250.0,450.0,6.4,19.0
0.0,0.06564551422319474,0.0,0.0175054704595186,0.0,0.15317286652078774,0.0,0.7614879649890589,0.002188183807439825,0.0,0.8312570781426952,0.0464326160815402,0.12231030577576442,0.0,0.0012165450121654502,3.7281951097292554,1333.0,0.1644,0.09140000000000001,0.08830000000000002,Proprietary,192.0,FL,1,7.4,120.0,170.0,520.0,1600.0,2600.0,62.0,15.0
0.0,0.11165048543689322,0.0,0.014563106796116505,0.0,0.19417475728155342,0.0,0.6747572815533981,0.004854368932038836,0.0,0.7730673316708229,0.08728179551122194,0.1396508728179551,0.0,0.004143646408839779,3.3922770319497064,1025.0,0.07239999999999999,0.041199999999999994,0.040100000000000004,Proprietary,169.9,FL,1,7.59,92.0,98.0,270.0,640.0,1100.0,24.0,16.0
0.0,0.15466666666666667,0.0,0.010666666666666668,0.0,0.18666666666666668,0.0,0.6373333333333334,0.010666666666666668,0.0,0.790633608815427,0.08264462809917356,0.12672176308539945,0.0,0.0030721966205837174,3.348275805243481,800.0,0.0651,0.0375,0.0363,Proprietary,141.8,FL,0,7.38,116.0,85.0,220.0,550.0,1020.0,17.0,15.0
0.0,0.1513002364066194,0.0,0.009456264775413713,0.0,0.1843971631205674,0.0,0.6453900709219859,0.009456264775413713,0.0,0.81145584725537,0.07398568019093078,0.11455847255369928,0.0,0.0026773761713520744,3.403407678546538,810.0,0.07470000000000002,0.0423,0.0419,Proprietary,142.9,FL,0,7.35,129.0,95.0,230.0,630.0,1210.0,17.0,15.0
0.0,0.0856610800744879,0.0,0.0186219739292365,0.0,0.21601489757914338,0.0,0.6797020484171322,0.0,0.0,0.7410881801125704,0.0600375234521576,0.19887429643527205,0.0,0.0021321961620469083,3.5108600944839736,1065.0,0.09380000000000001,0.0537,0.0533,Proprietary,167.0,FL,1,8.3,91.0,140.0,510.0,840.0,1400.0,40.0,14.0
0.0,0.18764302059496565,0.0,0.009153318077803202,0.0,0.18764302059496565,0.0,0.5972540045766589,0.018306636155606404,0.0,0.7830188679245284,0.056603773584905655,0.16037735849056603,0.0,0.004032258064516129,3.4131101422502628,800.0,0.0744,0.04370000000000001,0.0424,Proprietary,111.9,FL,0,7.37,165.0,101.0,330.0,600.0,1180.0,15.0,16.0
0.0,0.03618421052631579,0.0,0.02138157894736842,0.0,0.26973684210526316,0.0,0.6726973684210527,0.0,0.0,0.6954225352112676,0.08626760563380281,0.21830985915492956,0.0,0.0019550342130987292,3.550894673290912,812.0,0.1023,0.0608,0.0568,Proprietary,259.0,FL,1,8.5,44.0,200.0,600.0,940.0,1400.0,52.0,14.0
0.0,0.05742411812961443,0.0,0.00984413453650533,0.0,0.03773584905660377,0.0,0.8933552091878588,0.0016406890894175553,0.0,0.9443016281062553,0.05569837189374464,0.0,0.0,0.0012875536480686693,3.8506006778139557,1526.0,0.233,0.12190000000000001,0.11670000000000001,Proprietary,310.0,FL,1,7.5,140.0,56.0,1.6,2500.0,3900.0,47.0,20.0
