model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.16611295681063123,0.00221483942414175,0.0033222591362126247,0.001107419712070875,0.522702104097453,0.0,0.3045404208194906,0.0,0.0,0.004965243296921549,0.16484607745779545,0.830188679245283,0.0008453085376162301,0.0016906170752324602,3.809280902365302,670.0,0.11829999999999999,0.09029999999999999,0.1007,Proprietary,390.0,NM,1,6.2,300.0,570.0,4000.0,630.0,19.0,13.0,11.0
0.0,0.29365079365079366,0.0,0.043650793650793655,0.0,0.1111111111111111,0.0,0.5515873015873015,0.0,0.0,0.452,0.38,0.168,0.0,0.016018306636155607,3.252146959287003,1307.0,0.043699999999999996,0.0252,0.024999999999999998,Proprietary,466.0,NM,1,7.8,150.0,34.0,200.0,320.0,400.0,43.0,40.0
0.0,0.42424242424242425,0.0,0.015151515151515152,0.0,0.12121212121212122,0.0,0.4393939393939394,0.0,0.0,0.2142857142857143,0.2619047619047619,0.5238095238095238,0.0,0.013201320132013203,3.1660357541381963,60.0,0.030299999999999997,0.019799999999999998,0.020999999999999998,Proprietary,258.0,NM,1,7.5,170.0,29.0,530.0,200.0,160.0,10.0,22.0
0.0,0.6179775280898876,0.0,0.022471910112359553,0.0,0.23595505617977527,0.0,0.12359550561797754,0.0,0.0,0.09947643979057592,0.29319371727748694,0.6073298429319371,0.0,0.04081632653061224,3.142023509614001,95.0,0.0245,0.0178,0.0191,Proprietary,240.0,NM,1,7.1,220.0,50.0,560.0,51.0,69.0,14.0,59.0
0.0,0.5364806866952789,0.0,0.002145922746781116,0.0,0.2832618025751073,0.0,0.1781115879828326,0.0,0.0,0.07838983050847458,0.0402542372881356,0.8813559322033898,0.0,0.005535055350553504,3.4953814396315535,365.0,0.054200000000000005,0.0466,0.0472,Proprietary,94.0,NM,1,7.9,500.0,160.0,2000.0,190.0,130.0,3.7,18.0
0.0,0.42944785276073616,0.0,0.012269938650306747,0.0061349693251533735,0.23312883435582818,0.0,0.3190184049079754,0.0,0.0,0.13218390804597702,0.4310344827586207,0.4367816091954023,0.0,0.012096774193548385,3.091500100200281,150.0,0.024800000000000003,0.016300000000000002,0.0174,Proprietary,316.0,NM,2,6.99,140.0,47.0,370.0,120.0,80.0,5.9,18.0
0.0,0.006024096385542169,0.0,0.0030120481927710845,0.0,0.006024096385542169,0.0,0.9849397590361446,0.0,0.0,0.8556998556998556,0.1240981240981241,0.0202020202020202,0.0,0.0007423904974016333,3.6266153232229907,350.0,0.1347,0.0664,0.0693,Proprietary,436.0,NM,0,8.4,8.6,4.1,65.0,1500.0,2100.0,9.4,8.6
0.0,0.014117647058823526,0.0,0.0035294117647058816,0.0,0.007058823529411763,0.0,0.9752941176470588,0.0,0.0,0.12790697674418605,0.2651162790697675,0.6069767441860466,0.0,0.0006939625260235947,3.7952585735187574,150.0,0.1441,0.085,0.086,Proprietary,1120.0,NM,0,7.9,25.0,7.6,2500.0,1900.0,390.0,11.0,7.8
0.0,0.005698005698005698,0.0,0.002849002849002849,0.0,0.0,0.0,0.9914529914529914,0.0,0.0,0.19999999999999998,0.6215384615384615,0.17846153846153845,0.001540832049306626,0.003081664098613252,3.4097286019039488,285.0,0.06489999999999999,0.0351,0.0325,Proprietary,1120.0,NM,0,9.2,4.9,0.8,280.0,800.0,230.0,3.6,10.0
0.0,0.01348314606741573,0.0,0.0022471910112359553,0.0,0.0044943820224719105,0.0,0.9797752808988764,0.0,0.0,0.2759336099585062,0.7116182572614107,0.012448132780082987,0.0010834236186348864,0.002166847237269773,3.558756844120749,205.0,0.0923,0.0445,0.0482,Proprietary,1690.0,NM,0,8.0,14.0,2.2,24.0,1000.0,470.0,4.3,11.0
