model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.35789473684210527,0.0,0.0063157894736842095,0.002105263157894737,0.12210526315789473,0.0,0.5073684210526316,0.004210526315789474,0.0,0.9266802443991854,0.024439918533604887,0.048879837067209775,0.0,0.005924170616113743,3.452912834764013,581.0,0.08440000000000002,0.0475,0.0491,Proprietary,59.0,TX,2,7.7,340.32,69.55,115.73,555.34,1613.01,12.1,30.16
0.0,0.40236686390532544,0.0,0.01775147928994083,0.0,0.13017751479289943,0.0,0.44970414201183434,0.0,0.0,0.3146067415730337,0.2696629213483146,0.4157303370786517,0.0,0.014869888475836434,3.0896024475101576,38.0,0.026899999999999997,0.0169,0.0178,Proprietary,217.0,TX,1,7.3,134.52,27.8,357.3,175.7,199.16,13.1,22.01
0.0,0.3490909090909091,0.0,0.02181818181818182,0.0,0.15272727272727274,0.0,0.46909090909090917,0.007272727272727274,0.0,0.4468864468864469,0.1282051282051282,0.42490842490842484,0.0,0.014084507042253518,3.262564869471725,610.0,0.042600000000000006,0.027499999999999997,0.0273,Proprietary,166.0,TX,1,7.5,194.65,50.01,561.83,296.92,433.2,22.0,35.74
0.0,0.10843373493975904,0.0,0.018072289156626505,0.0,0.13253012048192772,0.0,0.7409638554216867,0.0,0.0,0.4819277108433735,0.20481927710843373,0.3132530120481928,0.0,0.01718213058419244,3.0575878325799364,300.0,0.0291,0.0166,0.0166,Proprietary,164.1,TX,0,7.7,36.3,25.8,250.9,283.0,284.06,9.91,28.42
0.0,0.12903225806451613,0.0,0.0064516129032258064,0.0,0.025806451612903226,0.0,0.8387096774193548,0.0,0.0,0.21472392638036814,0.40490797546012275,0.3803680981595092,0.0,0.024822695035460998,3.091649163465337,159.0,0.028199999999999996,0.0155,0.0163,Proprietary,313.0,TX,0,7.6,40.09,5.96,300.16,299.39,125.01,5.01,39.99
0.0,0.2826086956521739,0.0,0.014492753623188406,0.0,0.18115942028985507,0.0,0.5217391304347826,0.0,0.0,0.46341463414634143,0.17421602787456447,0.36236933797909404,0.0,0.006666666666666665,3.2702316203017667,190.0,0.045000000000000005,0.0276,0.0287,Proprietary,213.9,TX,1,7.02,157.08,60.34,498.27,331.0,473.34,15.07,20.82
0.0,0.1838235294117647,0.0,0.007352941176470588,0.0,0.07352941176470588,0.0,0.7352941176470588,0.0,0.0,0.40217391304347827,0.04710144927536232,0.5507246376811594,0.0,0.011312217194570135,3.2676907170032328,650.0,0.0442,0.027200000000000002,0.0276,Proprietary,64.0,TX,2,8.0,102.33,23.23,730.99,462.45,396.58,8.58,32.87
0.0,0.22399999999999998,0.0,0.008,0.0,0.08,0.0,0.688,0.0,0.0,0.4330708661417323,0.047244094488188976,0.5196850393700787,0.0,0.012345679012345678,3.2276106728788774,720.0,0.0405,0.025,0.0254,Proprietary,58.0,TX,2,8.0,112.46,24.96,637.28,395.16,391.45,7.94,30.64
0.0,0.1686746987951807,0.0,0.04216867469879518,0.0,0.10843373493975904,0.0,0.680722891566265,0.0,0.0,0.572289156626506,0.18674698795180722,0.24096385542168675,0.0,0.017006802721088433,3.0535805127340034,500.0,0.029400000000000003,0.0166,0.0166,Proprietary,152.0,TX,0,7.8,56.3,23.1,188.9,260.0,338.61,25.8,31.47
0.0,0.005154639175257732,0.0,0.002577319587628866,0.0,0.0,0.0,0.9922680412371133,0.0,0.0,0.3855721393034826,0.4154228855721393,0.19900497512437812,0.0013297872340425534,0.0026595744680851068,3.4582944620546066,954.0,0.07519999999999999,0.0388,0.0402,20080603-1,831.0,TX,0,8.12,2.68,0.39,389.0,886.0,550.0,2.67,14.0
0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.9944134078212291,0.0,0.0,0.15425531914893617,0.601063829787234,0.2446808510638298,0.002881844380403458,0.005763688760806916,3.162222989774761,880.0,0.0347,0.0179,0.018799999999999997,20000419-1,581.0,TX,0,8.58,1.36,0.2,222.0,410.0,103.0,2.62,11.2
0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.995,0.0,0.0,0.15544041450777202,0.6062176165803108,0.23834196891191708,0.0,0.005376344086021505,3.1809132305182484,952.0,0.037200000000000004,0.02,0.0193,19840427-1,596.0,TX,0,8.5,1.2,0.19,221.0,457.0,108.0,2.0,10.0
